Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778519509,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778519510,6,,Aggregated,0.000000,0.000000,47,47,55,55,55,55,55,55,55,55,55,6,6,46,47.789787665654636,41.86591899997438,55.32445700009703,73279.0
1778519511,12,,Aggregated,0.000000,0.000000,42,42,46,47,55,55,55,55,55,55,55,14,14,42,43.85633207130013,38.88753499995801,55.32445700009703,73279.0
1778519512,18,,Aggregated,6.000000,6.000000,42,42,45,46,47,55,55,55,55,55,55,26,26,41,42.715343692319806,36.42186599972774,55.32445700009703,73279.0
1778519513,24,,Aggregated,6.000000,6.000000,41,42,45,46,54,55,58,58,58,58,58,39,39,41,42.56292202579714,35.76892600176507,57.900951000192435,73279.0
1778519514,30,,Aggregated,8.333333,8.333333,40,41,42,44,47,55,55,58,58,58,58,53,53,40,41.664424207721034,35.76892600176507,57.900951000192435,73279.0
1778519514,36,,Aggregated,8.333333,8.333333,40,41,42,44,47,54,55,58,58,58,58,73,73,40,41.23123280835786,35.76892600176507,57.900951000192435,73279.0
1778519515,42,,Aggregated,9.750000,9.750000,40,41,43,44,47,54,55,58,58,58,58,89,89,40,41.293472606882325,35.76892600176507,57.900951000192435,73279.0
1778519516,48,,Aggregated,10.400000,10.400000,40,41,43,44,48,54,55,56,58,58,58,115,115,40,41.27719485230678,35.54916299981414,57.900951000192435,73279.0
1778519517,48,,Aggregated,13.166667,13.166667,39,41,42,44,47,53,55,56,58,58,58,135,135,39,40.807565548311686,35.54916299981414,57.900951000192435,73279.0
1778519518,48,,Aggregated,13.857143,13.857143,39,41,42,43,47,52,55,56,58,58,58,155,155,39,40.56797374205123,35.54916299981414,57.900951000192435,73279.0
1778519519,48,,Aggregated,15.000000,15.000000,39,40,41,42,47,50,55,56,58,58,58,179,179,39,40.22593712297189,35.54916299981414,57.900951000192435,73279.0
1778519520,48,,Aggregated,15.000000,15.000000,39,40,41,42,46,50,55,56,58,58,58,194,194,39,40.04028962378104,35.54916299981414,57.900951000192435,73279.0
1778519521,48,,Aggregated,16.000000,16.000000,39,40,41,41,45,49,54,55,58,58,58,217,217,39,39.7451175116079,35.54916299981414,57.900951000192435,73279.0
1778519522,48,,Aggregated,18.300000,18.300000,38,40,40,41,45,49,54,55,58,58,58,240,240,38,39.50950317506189,35.54916299981414,57.900951000192435,73279.0
1778519523,48,,Aggregated,19.600000,19.600000,38,39,40,41,44,48,54,55,58,58,58,259,259,38,39.35979877229842,35.54916299981414,57.900951000192435,73279.0
1778519524,48,,Aggregated,21.100000,21.100000,38,39,40,41,44,47,54,55,58,58,58,283,283,38,39.17690147357561,35.54916299981414,57.900951000192435,73279.0
1778519524,48,,Aggregated,21.100000,21.100000,38,39,40,41,43,47,53,55,58,58,58,304,304,38,39.09012491125826,35.54916299981414,57.900951000192435,73279.0
1778519525,48,,Aggregated,21.500000,21.500000,38,39,40,40,43,47,53,55,58,58,58,317,317,38,39.064075211404564,35.54916299981414,57.900951000192435,73279.0
1778519526,48,,Aggregated,22.600000,22.600000,38,39,40,40,43,47,53,55,58,58,58,345,345,38,38.91647054203887,35.54916299981414,57.900951000192435,73279.0
1778519527,48,,Aggregated,22.200000,22.200000,38,39,40,40,42,47,52,55,58,58,58,360,360,38,38.82985944721642,35.27917799874558,57.900951000192435,73279.0
1778519528,48,,Aggregated,22.800000,22.800000,38,39,39,40,42,46,52,55,58,58,58,383,383,38,38.726495342027015,35.27917799874558,57.900951000192435,73279.0
