Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778720266,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778720267,6,,Aggregated,0.000000,0.000000,49,49,53,53,55,61,61,61,61,61,61,12,0,29,37.94586775075004,14.555522000591736,61.320995999267325,576900.0
1778720268,12,,Aggregated,0.000000,0.000000,47,49,49,50,55,58,61,61,61,61,61,26,0,29,35.461767154069655,4.658552003093064,61.320995999267325,576900.0
1778720269,18,,Aggregated,12.000000,0.000000,44,47,49,50,59,61,75,75,75,75,75,48,0,29,33.25431020827333,4.658552003093064,74.78881799761439,576900.0
1778720270,24,,Aggregated,12.000000,0.000000,44,47,49,51,61,69,78,79,79,79,79,72,0,29,32.60934455536497,4.052121999848168,78.69660999858752,576900.0
1778720271,24,,Aggregated,14.000000,0.000000,44,47,48,49,59,67,78,79,79,79,79,90,0,29,31.174781566450193,2.842792004230432,78.69660999858752,576900.0
1778720272,24,,Aggregated,16.500000,0.000000,44,45,47,48,55,61,75,78,79,79,79,118,0,29,29.749749313511636,2.842792004230432,78.69660999858752,576900.0
1778720273,24,,Aggregated,16.400000,0.000000,44,46,47,48,53,61,75,78,79,79,79,134,0,29,29.218889096933818,2.842792004230432,78.69660999858752,576900.0
1778720274,24,,Aggregated,19.000000,0.000000,44,45,46,47,49,59,69,78,79,79,79,164,0,29,28.36676093279604,2.842792004230432,78.69660999858752,576900.0
1778720275,24,,Aggregated,18.285714,0.000000,44,45,46,47,49,59,69,78,79,79,79,176,0,29,28.132114653338,2.842792004230432,78.69660999858752,576900.0
1778720276,24,,Aggregated,18.750000,0.000000,44,45,46,47,49,58,67,75,79,79,79,204,0,29,27.64992132342384,2.7467809995869175,78.69660999858752,576900.0
1778720277,24,,Aggregated,19.111111,0.000000,44,45,46,47,49,55,67,75,79,79,79,224,0,29,27.415008093644897,2.6084459968842566,78.69660999858752,576900.0
1778720278,24,,Aggregated,19.600000,0.000000,44,45,46,47,49,55,67,75,79,79,79,238,0,29,27.251693747835937,2.6084459968842566,78.69660999858752,576900.0
1778720279,24,,Aggregated,20.200000,0.000000,44,45,46,47,49,53,61,75,79,79,79,262,0,29,27.007600423475132,2.6084459968842566,78.69660999858752,576900.0
1778720280,24,,Aggregated,20.800000,0.000000,44,45,46,47,48,53,61,75,79,79,79,280,0,29,26.870940103331773,2.6084459968842566,78.69660999858752,576900.0
1778720281,24,,Aggregated,21.200000,0.000000,44,45,46,47,48,51,61,69,79,79,79,304,0,29,26.728004782685993,2.6084459968842566,78.69660999858752,576900.0
1778720282,24,,Aggregated,20.800000,0.000000,44,45,46,47,48,51,61,69,79,79,79,322,0,29,26.613632245181794,2.566743001807481,78.69660999858752,576900.0
1778720283,24,,Aggregated,21.200000,0.000000,44,45,46,47,48,51,61,69,79,79,79,344,0,29,26.516507168475243,2.54898799903458,78.69660999858752,576900.0
1778720283,24,,Aggregated,21.200000,0.000000,44,45,46,47,48,51,61,69,79,79,79,366,0,29,26.371791158314405,2.54898799903458,78.69660999858752,576900.0
1778720284,24,,Aggregated,20.200000,0.000000,44,45,46,47,48,51,61,69,79,79,79,386,0,29,26.299351574950325,2.54898799903458,78.69660999858752,576900.0
1778720285,24,,Aggregated,20.200000,0.000000,43,45,46,47,48,50,59,67,79,79,79,408,0,29,26.183437166497136,2.54898799903458,78.69660999858752,576900.0
1778720286,24,,Aggregated,21.800000,0.000000,43,45,46,47,48,49,59,67,79,79,79,430,0,29,26.095165255622327,2.54898799903458,78.69660999858752,576900.0
1778720287,24,,Aggregated,22.000000,0.000000,43,45,46,47,48,49,59,67,79,79,79,444,0,29,26.06102034892624,2.54898799903458,78.69660999858752,576900.0
1778720288,24,,Aggregated,21.800000,0.000000,43,45,46,46,48,49,58,67,79,79,79,462,0,29,25.987265004170528,2.54898799903458,78.69660999858752,576900.0
1778720289,24,,Aggregated,21.800000,0.000000,43,45,46,46,48,49,58,67,79,79,79,488,0,29,25.92856548956467,2.54898799903458,78.69660999858752,576900.0
1778720290,24,,Aggregated,21.600000,0.000000,43,45,46,46,48,49,58,61,79,79,79,512,0,29,25.86931798224157,2.54898799903458,78.69660999858752,576900.0
1778720291,24,,Aggregated,22.000000,0.000000,43,45,46,46,48,49,58,61,79,79,79,532,0,29,25.822190967864618,2.54898799903458,78.69660999858752,576900.0
1778720292,24,,Aggregated,21.800000,0.000000,43,45,46,46,48,49,55,61,79,79,79,552,0,29,25.75587654696985,2.54898799903458,78.69660999858752,576900.0
1778720293,24,,Aggregated,22.200000,0.000000,43,45,46,46,48,49,55,61,79,79,79,574,0,29,25.697447172301082,2.54898799903458,78.69660999858752,576900.0
1778720294,24,,Aggregated,22.400000,0.000000,43,45,46,46,47,49,54,61,79,79,79,602,0,29,25.634736400197685,2.54898799903458,78.69660999858752,576900.0
1778720295,24,,Aggregated,22.800000,0.000000,43,45,46,46,47,49,54,61,79,79,79,618,0,29,25.58832572479753,2.532279002480209,78.69660999858752,576900.0
