carga,cenario,peso_label,instancias,usuarios,p95_ms,requests_per_sec,failure_rate_percent,status
Carga leve (24 usuarios),img300,Imagem 300 KB,1,24,47.0,21.43,0.00,OK
Carga leve (24 usuarios),text400,Texto 400 KB,1,24,60.0,10.53,0.00,OK
Carga leve (24 usuarios),img1mb,Imagem 1 MB,1,24,48.0,21.12,0.00,OK
Carga leve (24 usuarios),hybrid,Hibrido,1,24,57.0,18.97,0.00,OK
Carga leve (24 usuarios),img300,Imagem 300 KB,2,24,48.0,20.98,0.00,OK
Carga leve (24 usuarios),text400,Texto 400 KB,2,24,61.0,10.51,0.00,OK
Carga leve (24 usuarios),img1mb,Imagem 1 MB,2,24,49.0,20.86,0.00,OK
Carga leve (24 usuarios),hybrid,Hibrido,2,24,58.0,18.74,0.00,OK
Carga leve (24 usuarios),img300,Imagem 300 KB,3,24,48.0,21.27,0.00,OK
Carga leve (24 usuarios),text400,Texto 400 KB,3,24,60.0,10.45,0.00,OK
Carga leve (24 usuarios),img1mb,Imagem 1 MB,3,24,48.0,20.91,0.00,OK
Carga leve (24 usuarios),hybrid,Hibrido,3,24,58.0,19.00,0.00,OK
Carga media (96 usuarios),img300,Imagem 300 KB,1,96,47.0,77.15,0.00,OK
Carga media (96 usuarios),text400,Texto 400 KB,1,96,62.0,38.75,0.00,OK
Carga media (96 usuarios),img1mb,Imagem 1 MB,1,96,48.0,77.45,0.00,OK
Carga media (96 usuarios),hybrid,Hibrido,1,96,58.0,70.02,0.00,OK
Carga media (96 usuarios),img300,Imagem 300 KB,2,96,47.0,77.27,0.00,OK
Carga media (96 usuarios),text400,Texto 400 KB,2,96,65.0,39.11,0.00,OK
Carga media (96 usuarios),img1mb,Imagem 1 MB,2,96,48.0,77.73,0.00,OK
Carga media (96 usuarios),hybrid,Hibrido,2,96,58.0,69.26,0.00,OK
Carga media (96 usuarios),img300,Imagem 300 KB,3,96,47.0,77.77,0.00,OK
Carga media (96 usuarios),text400,Texto 400 KB,3,96,62.0,38.41,0.00,OK
Carga media (96 usuarios),img1mb,Imagem 1 MB,3,96,49.0,78.00,0.00,OK
Carga media (96 usuarios),hybrid,Hibrido,3,96,58.0,68.67,0.00,OK
Carga pesada (300 usuarios),img300,Imagem 300 KB,1,300,1700.0,200.10,0.00,OK
Carga pesada (300 usuarios),text400,Texto 400 KB,1,300,2200.0,85.30,0.00,OK
Carga pesada (300 usuarios),img1mb,Imagem 1 MB,1,300,1800.0,191.62,0.00,OK
Carga pesada (300 usuarios),hybrid,Hibrido,1,300,1900.0,168.13,0.00,OK
Carga pesada (300 usuarios),img300,Imagem 300 KB,2,300,2000.0,199.21,1.26,OK
Carga pesada (300 usuarios),text400,Texto 400 KB,2,300,2700.0,85.20,6.88,OK
Carga pesada (300 usuarios),img1mb,Imagem 1 MB,2,300,2200.0,191.37,3.11,OK
Carga pesada (300 usuarios),hybrid,Hibrido,2,300,2600.0,168.05,4.17,OK
Carga pesada (300 usuarios),img300,Imagem 300 KB,3,300,2300.0,196.56,1.99,OK
Carga pesada (300 usuarios),text400,Texto 400 KB,3,300,3200.0,85.05,5.64,OK
Carga pesada (300 usuarios),img1mb,Imagem 1 MB,3,300,2400.0,190.58,1.91,OK
Carga pesada (300 usuarios),hybrid,Hibrido,3,300,2100.0,157.14,1.07,OK
