Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778721746,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778721747,6,,Aggregated,0.000000,0.000000,70,70,73,73,75,75,75,75,75,75,75,6,0,69,69.91787049870861,62.93570200068643,74.65861499804305,484199.0
1778721748,12,,Aggregated,0.000000,0.000000,66,69,69,70,73,75,75,75,75,75,75,14,0,64,65.67339978469785,56.72884800151223,74.65861499804305,484199.0
1778721749,18,,Aggregated,6.000000,0.000000,63,65,67,69,70,73,75,75,75,75,75,25,0,63,63.18014455900993,53.56934700103011,74.65861499804305,484199.0
1778721750,24,,Aggregated,6.000000,0.000000,62,66,69,69,75,77,80,80,80,80,80,38,0,61,63.45686305250734,53.56934700103011,79.98077099910006,484199.0
1778721751,24,,Aggregated,6.666667,0.000000,60,64,68,69,73,76,80,80,80,80,80,44,0,60,62.51346013662194,53.56934700103011,79.98077099910006,484199.0
1778721752,24,,Aggregated,8.250000,0.000000,59,60,64,67,73,76,77,80,80,80,80,60,0,58,60.76899426673966,53.00815300142858,79.98077099910006,484199.0
1778721753,24,,Aggregated,8.000000,0.000000,58,60,63,65,70,75,77,80,80,80,80,68,0,58,60.1613443087605,53.00815300142858,79.98077099910006,484199.0
1778721754,24,,Aggregated,8.333333,0.000000,57,59,60,63,69,73,77,80,80,80,80,81,0,57,59.5089353952107,53.00815300142858,79.98077099910006,484199.0
1778721755,24,,Aggregated,9.285714,0.000000,57,59,60,63,69,73,77,80,80,80,80,88,0,57,59.367708886466886,53.00815300142858,79.98077099910006,484199.0
1778721756,24,,Aggregated,9.000000,0.000000,57,59,60,62,69,73,77,80,80,80,80,100,0,57,59.09708742998191,53.00815300142858,79.98077099910006,484199.0
1778721757,24,,Aggregated,9.111111,0.000000,57,58,59,60,68,73,76,77,80,80,80,113,0,57,58.69984996459494,53.00815300142858,79.98077099910006,484199.0
1778721758,24,,Aggregated,9.400000,0.000000,57,58,59,60,68,73,76,77,80,80,80,119,0,57,58.62387216804273,53.00815300142858,79.98077099910006,484199.0
1778721759,24,,Aggregated,10.000000,0.000000,57,58,59,59,66,70,76,77,80,80,80,132,0,57,58.417021810424615,53.00815300142858,79.98077099910006,484199.0
1778721760,24,,Aggregated,10.200000,0.000000,57,58,59,59,66,70,76,77,80,80,80,140,0,57,58.36495545689623,53.00815300142858,79.98077099910006,484199.0
1778721761,24,,Aggregated,10.300000,0.000000,57,58,59,59,65,69,76,77,80,80,80,150,0,57,58.23837317982301,53.00815300142858,79.98077099910006,484199.0
1778721762,24,,Aggregated,10.100000,0.000000,57,58,59,59,64,69,75,77,80,80,80,160,0,57,58.25437298735778,53.00815300142858,79.98077099910006,484199.0
1778721763,24,,Aggregated,10.200000,0.000000,57,58,59,59,64,69,75,77,80,80,80,170,0,57,58.16271601164344,53.00815300142858,79.98077099910006,484199.0
1778721764,24,,Aggregated,10.500000,0.000000,57,58,59,59,63,69,75,77,80,80,80,183,0,57,58.0482352513068,53.00815300142858,79.98077099910006,484199.0
